customer_id,invoice_id,invoice_date,quantity,unit_price
C01380,INV13501,2023-09-14,3,11.72
C01445,INV14244,2023-08-31,1,55.11
C01040,INV10352,2023-09-09,2,15.36
C01242,INV12134,2023-09-26,5,89.84
C01455,INV14333,2023-08-20,1,40.25
C01250,INV12256,2023-11-01,1,23.93
C01294,INV12612,2023-01-26,3,12.1
C01104,INV10852,2023-01-01,3,14.55
C01148,INV11275,2023-08-16,5,156.21
C01215,INV11908,2023-11-01,4,59.15
C01217,INV11926,2023-07-16,2,34.23
C01234,INV12063,2023-07-14,5,4.86
C01045,INV10404,2023-05-25,3,7.31
C01079,INV10673,2023-08-17,5,73.6
C01249,INV12199,2023-10-26,5,49.12
C01255,INV12288,2023-03-26,4,24.59
C01125,INV11063,2023-07-16,2,9.66
C01278,INV12500,2023-11-14,2,74.17
C01079,INV10646,2023-08-14,5,77.45
C01237,INV12106,2023-09-18,1,121.17
C01483,INV14643,2023-06-15,1,100.12
C01389,INV13592,2023-10-11,2,20.43
C01302,INV12798,2023-09-14,5,6.39
C01015,INV10088,2023-03-23,1,17.51
C01121,INV11013,2023-04-06,2,26.0
C01443,INV14211,2023-10-20,5,14.87
C01101,INV10825,2023-07-17,4,3.57
C01335,INV13154,2023-08-23,5,17.25
C01079,INV10665,2023-08-21,4,78.3
C01095,INV10777,2023-01-17,3,4.44
C01300,INV12754,2023-08-16,2,89.55
C01297,INV12649,2023-07-21,3,186.29
C01392,INV13635,2023-05-17,2,17.25
C01401,INV13728,2023-08-30,1,58.04
C01463,INV14484,2023-06-08,2,146.79
C01159,INV11388,2023-04-23,4,3.86
C01023,INV10193,2023-06-02,2,16.34
C01068,INV10570,2023-08-20,2,30.82
C01128,INV11090,2023-09-27,3,19.1
C01056,INV10484,2023-10-24,2,35.69
C01207,INV11766,2023-06-21,2,14.32
C01128,INV11097,2023-05-29,3,13.65
C01459,INV14371,2023-08-24,2,40.77
C01202,INV11712,2023-05-11,1,35.88
C01212,INV11815,2023-08-29,4,58.32
C01270,INV12397,2023-10-13,2,166.34
C01121,INV11022,2023-07-25,5,19.39
C01292,INV12607,2023-11-01,4,18.92
C01467,INV14506,2023-09-10,1,13.25
C01485,INV14667,2023-03-19,3,15.58
C01495,INV14776,2023-11-09,3,63.74
C01431,INV14063,2023-08-16,4,28.89
C01222,INV11948,2023-06-11,2,11.56
C01074,INV10623,2023-08-09,2,21.08
C01307,INV12847,2023-02-14,5,7.24
C01245,INV12162,2023-09-27,1,43.51
C01129,INV11103,2023-06-27,4,13.11
C01089,INV10757,2023-07-03,1,54.98
C01119,INV10993,2023-09-22,4,236.72
C01278,INV12483,2023-06-11,2,60.61
C01188,INV11563,2023-01-26,2,10.59
C01445,INV14248,2023-08-10,2,66.91
C01417,INV13925,2023-08-13,5,43.17
C01044,INV10393,2023-02-21,3,72.43
C01335,INV13141,2023-05-29,2,83.28
C01324,INV13041,2023-09-03,1,20.41
C01429,INV14052,2023-06-06,4,70.55
C01019,INV10127,2023-08-18,4,50.63
C01083,INV10688,2023-07-22,4,23.34
C01111,INV10907,2023-07-23,3,70.23
C01249,INV12212,2023-05-19,3,62.29
C01390,INV13604,2023-11-25,2,37.32
C01417,INV13929,2023-10-30,3,46.38
C01222,INV11945,2023-12-09,3,11.87
C01074,INV10616,2023-05-14,1,32.44
C01256,INV12302,2023-10-29,1,20.57
C01131,INV11127,2023-10-15,4,17.62
C01212,INV11827,2023-11-30,5,87.25
C01103,INV10843,2023-08-25,4,16.71
C01016,INV10099,2023-06-24,4,26.16
C01113,INV10941,2023-07-30,2,26.04
C01094,INV10774,2023-08-12,5,33.04
C01390,INV13602,2023-10-20,2,22.8
C01483,INV14631,2023-09-09,3,14.12
C01331,INV13081,2023-05-10,4,31.65
C01120,INV11005,2023-07-02,4,35.03
C01084,INV10694,2023-06-27,3,43.07
C01005,INV10024,2023-08-21,4,14.51
C01065,INV10553,2023-01-01,4,4.05
C01354,INV13304,2023-07-20,3,83.59
C01019,INV10118,2023-07-20,4,79.51
C01379,INV13490,2023-09-06,1,153.15
C01063,INV10544,2023-05-30,2,15.57
C01225,INV11963,2023-07-03,1,27.4
C01215,INV11880,2023-09-26,2,36.5
C01196,INV11626,2023-06-21,5,6.12
C01144,INV11227,2023-10-16,3,66.55
C01355,INV13331,2023-08-16,4,44.71
C01264,INV12367,2023-01-13,2,5.49
C01176,INV11486,2023-05-01,2,11.11
C01390,INV13607,2023-09-16,3,46.95
C01163,INV11419,2023-07-15,5,18.49
C01130,INV11119,2023-11-17,4,21.06
C01015,INV10083,2023-01-21,4,15.8
C01161,INV11399,2023-08-11,5,18.48
C01248,INV12190,2023-04-04,3,44.08
C01438,INV14151,2023-08-25,2,10.76
C01074,INV10623,2023-08-09,1,6.99
C01094,INV10773,2023-08-14,5,25.43
C01406,INV13754,2023-09-07,2,11.65
C01024,INV10220,2023-06-14,4,42.99
C01490,INV14702,2023-04-05,5,16.25
C01273,INV12440,2023-08-28,2,27.66
C01136,INV11155,2023-01-01,3,24.25
C01129,INV11107,2023-02-23,1,30.13
C01250,INV12248,2023-08-01,2,136.72
C01023,INV10193,2023-06-02,3,7.59
C01037,INV10298,2023-04-10,4,6.17
C01002,INV10011,2023-08-14,1,29.13
C01111,INV10918,2023-10-02,5,122.42
C01203,INV11718,2023-08-03,5,13.2
C01172,INV11476,2023-09-07,2,4.37
C01130,INV11123,2023-09-23,5,47.44
C01477,INV14595,2023-10-30,3,21.67
C01460,INV14385,2023-10-09,3,21.87
C01496,INV14789,2023-06-16,1,22.93
C01270,INV12413,2023-06-11,1,113.86
C01473,INV14545,2023-07-30,4,5.45
C01199,INV11657,2023-08-20,4,11.23
C01084,INV10692,2023-07-31,3,14.78
C01300,INV12719,2023-11-08,4,20.45
C01496,INV14791,2023-04-02,1,13.73
C01298,INV12661,2023-10-04,4,158.65
C01074,INV10614,2023-07-13,4,6.85
C01477,INV14593,2023-10-26,4,52.19
C01016,INV10092,2023-08-18,5,23.8
C01110,INV10876,2023-05-15,2,18.69
C01187,INV11533,2023-09-12,3,91.31
C01324,INV13026,2023-05-09,3,18.11
C01409,INV13834,2023-07-18,3,102.57
C01298,INV12708,2023-07-31,3,87.65
C01032,INV10268,2023-04-19,4,20.3
C01320,INV12997,2023-08-19,2,17.92
C01296,INV12644,2023-06-08,2,160.82
C01119,INV10997,2023-09-13,1,123.52
C01490,INV14690,2023-06-15,5,23.44
C01111,INV10906,2023-09-20,3,19.31
C01310,INV12885,2023-06-18,2,12.03
C01493,INV14722,2023-10-30,5,23.81
C01022,INV10183,2023-10-19,4,23.87
C01157,INV11381,2023-09-17,3,25.59
C01326,INV13049,2023-11-07,4,26.73
C01310,INV12894,2023-11-14,5,40.55
C01171,INV11473,2023-04-29,2,6.51
C01088,INV10745,2023-03-25,5,22.37
C01237,INV12105,2023-07-04,1,245.74
C01190,INV11579,2023-08-15,3,9.03
C01212,INV11814,2023-07-12,3,13.98
C01453,INV14324,2023-11-17,5,18.07
C01089,INV10750,2023-06-14,4,117.48
C01150,INV11320,2023-11-05,2,6.82
C01348,INV13251,2023-06-25,3,64.78
C01300,INV12761,2023-07-10,1,83.39
C01298,INV12687,2023-09-12,3,83.02
C01119,INV10998,2023-07-31,4,98.85
C01463,INV14485,2023-06-15,1,39.68
C01081,INV10679,2023-07-11,5,9.18
C01314,INV12923,2023-08-28,2,40.16
C01143,INV11218,2023-09-02,4,10.31
C01354,INV13306,2023-08-25,5,62.44
C01095,INV10775,2023-05-04,5,10.44
C01335,INV13152,2023-07-07,3,104.04
C01459,INV14366,2023-06-01,3,11.93
C01222,INV11950,2023-10-11,1,11.28
C01262,INV12362,2023-10-30,2,95.99
C01157,INV11368,2023-05-14,1,28.97
C01411,INV13874,2023-09-27,3,29.76
C01249,INV12205,2023-07-10,2,76.55
C01472,INV14542,2023-01-19,5,5.43
C01400,INV13704,2023-09-22,5,46.57
C01130,INV11124,2023-08-15,4,18.71
C01335,INV13132,2023-09-27,4,80.55
C01111,INV10905,2023-07-21,2,228.48
C01276,INV12473,2023-07-25,4,62.44
C01068,INV10576,2023-04-04,3,45.21
C01152,INV11342,2023-07-06,1,5.72
C01041,INV10379,2023-05-22,1,30.42
C01079,INV10661,2023-11-20,4,32.8
C01225,INV11965,2023-07-04,1,165.78
C01315,INV12930,2023-05-20,4,13.72
C01319,INV12971,2023-11-03,3,91.42
C01068,INV10572,2023-04-27,3,41.32
C01215,INV11872,2023-07-26,4,407.22
C01498,INV14807,2023-06-07,4,18.05
C01455,INV14342,2023-10-27,4,141.08
C01079,INV10660,2023-10-17,1,61.44
C01385,INV13557,2023-03-16,1,49.36
C01406,INV13759,2023-12-02,4,60.3
C01212,INV11818,2023-11-09,2,50.51
C01480,INV14616,2023-01-16,3,12.76
C01145,INV11231,2023-03-28,3,7.04
C01011,INV10065,2023-09-08,4,21.74
C01332,INV13102,2023-11-07,1,48.8
C01259,INV12331,2023-09-06,4,65.61
C01366,INV13409,2023-12-19,4,15.88
C01111,INV10900,2023-09-14,1,134.06
C01215,INV11883,2023-11-09,1,80.33
C01022,INV10192,2023-06-16,2,24.51
C01223,INV11952,2023-04-12,1,3.14
C01417,INV13900,2023-10-24,2,87.36
C01085,INV10716,2023-10-10,2,24.76
C01429,INV14040,2023-10-02,5,115.59
C01002,INV10005,2023-08-19,1,35.08
C01049,INV10428,2023-07-09,5,13.25
C01361,INV13379,2023-06-17,1,5.2
C01483,INV14650,2023-07-24,3,342.73
C01113,INV10941,2023-07-30,4,41.33
C01401,INV13706,2023-11-24,2,123.43
C01088,INV10740,2023-08-27,1,13.63
C01074,INV10611,2023-06-10,4,20.07
C01437,INV14133,2023-05-13,3,14.59
C01207,INV11752,2023-06-16,5,49.84
C01378,INV13475,2023-07-16,4,96.71
C01141,INV11186,2023-09-17,5,19.59
C01249,INV12206,2023-10-22,5,76.04
C01039,INV10310,2023-07-19,4,37.14
C01391,INV13615,2023-10-05,4,18.1
C01245,INV12157,2023-09-24,5,7.72
C01039,INV10324,2023-12-02,5,99.5
C01359,INV13363,2023-06-03,3,17.84
C01495,INV14764,2023-11-14,2,81.81
C01274,INV12451,2023-01-09,3,13.59
C01191,INV11603,2023-07-19,2,14.38
C01162,INV11416,2023-06-09,5,12.27
C01434,INV14123,2023-09-22,4,43.49
C01406,INV13752,2023-12-25,2,59.13
C01392,INV13628,2023-06-01,3,81.79
C01464,INV14491,2023-07-26,3,8.59
C01353,INV13292,2023-09-02,3,22.38
C01399,INV13680,2023-10-20,1,60.72
C01298,INV12664,2023-09-02,4,29.22
C01130,INV11113,2023-11-25,1,46.18
C01462,INV14457,2023-07-29,2,66.66
C01023,INV10195,2023-03-17,2,19.42
C01127,INV11080,2023-05-18,2,17.18
C01434,INV14106,2023-06-30,2,47.96
C01098,INV10801,2023-12-18,2,35.75
C01002,INV10012,2023-05-11,4,16.32
C01005,INV10024,2023-08-21,1,7.29
C01429,INV14044,2023-09-04,2,82.15
C01324,INV13035,2023-06-23,2,53.73
C01409,INV13822,2023-10-19,3,75.0
C01111,INV10918,2023-10-02,3,39.52
C01237,INV12087,2023-10-28,5,71.89
C01355,INV13335,2023-06-22,1,3.92
C01295,INV12615,2023-05-01,4,15.05
C01145,INV11235,2023-01-11,1,17.24
C01331,INV13077,2023-08-19,3,5.2
C01212,INV11830,2023-11-22,1,73.05
C01168,INV11441,2023-08-10,3,7.61
C01417,INV13918,2023-09-23,2,93.13
C01223,INV11951,2023-02-21,3,8.12
C01209,INV11781,2023-10-07,1,35.52
C01434,INV14116,2023-07-03,1,46.43
C01419,INV13954,2023-01-01,2,2.71
C01249,INV12224,2023-10-25,1,15.54
C01500,INV14822,2023-06-18,3,22.01
C01063,INV10546,2023-07-09,5,35.73
C01380,INV13514,2023-06-10,4,45.99
C01179,INV11498,2023-03-31,5,14.7
C01270,INV12416,2023-09-05,5,57.2
C01463,INV14479,2023-10-04,1,25.3
C01157,INV11365,2023-05-14,5,31.91
C01298,INV12659,2023-09-23,2,178.17
C01058,INV10494,2023-06-01,1,31.02
C01485,INV14669,2023-08-09,3,21.91
C01157,INV11376,2023-09-13,4,14.77
C01406,INV13768,2023-11-17,4,8.85
C01228,INV12010,2023-07-08,4,36.47
C01280,INV12543,2023-05-13,2,8.3
C01273,INV12439,2023-07-16,2,48.65
C01063,INV10543,2023-06-01,5,31.26
C01212,INV11837,2023-11-11,3,140.13
C01217,INV11924,2023-04-04,2,36.1
C01198,INV11643,2023-05-18,2,19.54
C01130,INV11115,2023-07-22,4,41.73
C01249,INV12215,2023-10-19,4,84.98
C01128,INV11097,2023-05-29,3,40.12
C01319,INV12973,2023-06-11,4,64.65
C01381,INV13522,2023-07-07,2,28.21
C01030,INV10245,2023-10-18,5,9.0
C01298,INV12704,2023-06-27,4,45.29
C01273,INV12448,2023-07-11,3,32.08
C01460,INV14394,2023-06-25,1,77.22
C01317,INV12940,2023-04-07,2,31.41
C01406,INV13751,2023-09-14,4,71.74
C01445,INV14250,2023-09-21,5,45.63
C01115,INV10959,2023-05-09,3,47.28
C01071,INV10604,2023-05-22,5,31.27
C01183,INV11515,2023-07-23,5,9.36
C01280,INV12540,2023-06-25,4,12.45
C01209,INV11781,2023-10-07,3,10.29
C01170,INV11446,2023-09-20,1,13.21
C01212,INV11817,2023-07-05,1,31.08
C01429,INV14042,2023-10-18,2,55.56
C01204,INV11733,2023-06-27,3,60.39
C01364,INV13398,2023-06-27,1,6.3
C01125,INV11067,2023-11-29,1,25.05
C01148,INV11284,2023-05-30,1,50.93
C01139,INV11164,2023-08-21,1,15.5
C01328,INV13067,2023-04-27,5,11.73
C01496,INV14787,2023-09-29,3,39.46
C01113,INV10949,2023-10-08,4,25.22
C01490,INV14691,2023-07-25,2,32.66
C01235,INV12069,2023-08-18,5,8.49
C01484,INV14666,2023-05-31,5,20.12
C01177,INV11492,2023-10-15,1,17.87
C01421,INV13960,2023-09-29,1,24.1
C01490,INV14694,2023-06-29,3,5.47
C01459,INV14365,2023-09-09,5,38.61
C01219,INV11933,2023-11-07,3,15.62
C01205,INV11748,2023-09-21,5,26.99
C01460,INV14380,2023-07-22,1,34.15
C01289,INV12589,2023-07-02,4,10.6
C01493,INV14716,2023-11-07,3,27.71
C01096,INV10790,2023-07-23,1,12.6
C01074,INV10611,2023-06-10,5,19.25
C01110,INV10883,2023-06-26,2,10.9
C01388,INV13572,2023-10-16,5,30.42
C01335,INV13138,2023-08-26,3,11.75
C01275,INV12458,2023-03-15,4,20.81
C01056,INV10483,2023-06-04,3,72.1
C01259,INV12328,2023-07-26,1,43.86
C01460,INV14405,2023-08-31,2,37.32
C01462,INV14451,2023-06-28,4,129.86
C01062,INV10525,2023-11-13,4,17.69
C01434,INV14128,2023-06-22,3,73.87
C01128,INV11088,2023-04-12,3,24.48
C01458,INV14361,2023-04-19,2,7.07
C01009,INV10051,2023-06-25,5,98.97
C01434,INV14116,2023-07-03,4,33.54
C01184,INV11525,2023-01-01,5,6.8
C01335,INV13136,2023-11-19,2,28.4
C01262,INV12363,2023-12-01,3,61.55
C01388,INV13573,2023-06-09,1,84.57
C01147,INV11248,2023-05-21,2,26.69
C01075,INV10627,2023-07-19,4,4.24
C01088,INV10731,2023-05-15,5,23.36
C01199,INV11676,2023-10-30,3,71.32
C01071,INV10598,2023-10-01,1,61.42
C01408,INV13796,2023-09-14,1,36.9
C01194,INV11612,2023-06-26,5,24.71
C01464,INV14491,2023-07-26,2,12.58
C01350,INV13268,2023-01-01,5,5.22
C01431,INV14062,2023-11-03,4,39.23
C01132,INV11134,2023-06-30,4,31.79
C01497,INV14799,2023-03-27,2,7.99
C01399,INV13679,2023-12-21,5,61.77
C01497,INV14801,2023-02-14,4,5.7
C01389,INV13592,2023-10-11,4,30.67
C01001,INV10001,2023-06-07,2,2.75
C01302,INV12798,2023-09-14,1,7.65
C01320,INV13000,2023-10-04,4,6.89
C01112,INV10934,2023-09-24,2,60.7
C01050,INV10465,2023-10-10,1,16.58
C01199,INV11687,2023-10-02,4,93.5
C01015,INV10084,2023-02-15,1,22.32
C01221,INV11941,2023-06-06,3,40.68
C01353,INV13280,2023-09-28,1,22.1
C01460,INV14391,2023-12-12,4,31.18
C01378,INV13479,2023-09-20,5,30.16
C01259,INV12310,2023-11-16,2,34.53
C01226,INV11986,2023-11-21,4,108.8
C01307,INV12847,2023-02-14,1,8.17
C01012,INV10074,2023-02-19,2,8.67
C01385,INV13554,2023-01-23,5,16.66
C01050,INV10463,2023-09-21,5,49.85
C01051,INV10470,2023-11-08,1,9.49
C01253,INV12269,2023-03-15,1,13.96
C01149,INV11297,2023-06-13,2,24.29
C01463,INV14473,2023-09-15,1,6.73
C01215,INV11891,2023-06-02,1,69.19
C01408,INV13799,2023-08-27,5,44.28
C01296,INV12637,2023-07-08,4,38.42
C01264,INV12370,2023-06-25,1,6.63
C01427,INV14010,2023-04-12,1,15.04
C01237,INV12101,2023-10-27,1,10.46
C01140,INV11171,2023-04-11,5,22.11
C01262,INV12352,2023-08-04,4,26.34
C01079,INV10669,2023-06-01,4,99.84
C01215,INV11882,2023-12-07,2,47.33
C01256,INV12294,2023-07-10,4,30.27
C01434,INV14084,2023-08-16,5,82.44
C01020,INV10151,2023-03-28,1,6.41
C01139,INV11163,2023-11-19,4,5.4
C01110,INV10882,2023-10-04,4,27.6
C01445,INV14238,2023-09-16,2,8.99
C01075,INV10629,2023-07-30,4,12.67
C01369,INV13416,2023-10-27,5,23.92
C01462,INV14439,2023-11-20,5,67.0
C01298,INV12692,2023-09-28,1,71.9
C01485,INV14672,2023-05-29,2,13.13
C01297,INV12658,2023-07-29,5,79.94
C01347,INV13227,2023-09-28,4,53.35
C01428,INV14020,2023-09-25,1,9.97
C01250,INV12240,2023-06-02,1,123.02
C01161,INV11398,2023-09-29,5,33.79
C01212,INV11844,2023-06-10,2,116.72
C01174,INV11483,2023-06-09,1,15.09
C01480,INV14616,2023-01-16,2,14.95
C01103,INV10841,2023-10-17,2,8.48
C01434,INV14116,2023-07-03,2,74.03
C01474,INV14548,2023-01-01,4,6.34
C01228,INV12026,2023-08-10,2,37.97
C01212,INV11834,2023-11-04,1,137.82
C01394,INV13642,2023-11-29,2,120.4
C01335,INV13117,2023-07-03,3,13.5
C01311,INV12897,2023-01-01,2,4.9
C01222,INV11950,2023-10-11,4,12.4
C01256,INV12301,2023-06-23,5,42.6
C01133,INV11141,2023-08-23,2,4.47
C01380,INV13512,2023-12-15,5,54.49
C01148,INV11293,2023-09-08,5,82.45
C01434,INV14126,2023-06-13,5,30.62
C01321,INV13012,2023-06-24,3,9.17
C01198,INV11640,2023-06-26,4,9.67
C01327,INV13059,2023-05-16,3,11.78
C01113,INV10948,2023-10-26,4,43.87
C01423,INV13996,2023-03-28,3,23.57
C01455,INV14346,2023-08-30,5,119.4
C01041,INV10367,2023-08-18,2,12.98
C01121,INV11011,2023-08-31,5,33.08
C01301,INV12767,2023-07-14,1,48.64
C01477,INV14570,2023-09-04,3,105.81
C01290,INV12598,2023-04-05,5,24.71
C01438,INV14152,2023-09-16,3,24.03
C01454,INV14326,2023-01-01,4,2.58
C01400,INV13695,2023-10-21,3,77.13
C01040,INV10363,2023-07-08,1,20.53
C01358,INV13343,2023-06-10,3,34.72
C01449,INV14296,2023-09-01,2,109.48
C01097,INV10797,2023-08-31,2,21.33
C01288,INV12580,2023-09-13,2,15.02
C01229,INV12036,2023-04-09,2,13.88
C01362,INV13380,2023-09-14,3,20.03
C01264,INV12370,2023-06-25,3,8.23
C01396,INV13659,2023-05-11,2,6.16
C01417,INV13912,2023-10-05,2,49.27
C01434,INV14123,2023-09-22,4,11.6
C01215,INV11885,2023-09-08,2,66.73
C01071,INV10603,2023-08-31,5,30.81
C01298,INV12659,2023-09-23,2,42.74
C01157,INV11365,2023-05-14,5,10.88
C01418,INV13948,2023-07-25,1,9.99
C01131,INV11126,2023-08-07,1,40.09
C01017,INV10111,2023-10-06,2,39.55
C01338,INV13169,2023-03-28,3,29.86
C01071,INV10599,2023-06-09,5,47.8
C01337,INV13162,2023-09-21,5,21.31
C01196,INV11625,2023-03-18,3,30.02
C01261,INV12334,2023-06-29,3,24.93
C01468,INV14518,2023-07-11,4,17.46
C01445,INV14237,2023-06-29,3,125.73
C01455,INV14349,2023-06-20,3,47.55
C01255,INV12272,2023-08-30,5,15.92
C01482,INV14627,2023-07-09,5,27.67
C01437,INV14142,2023-10-12,3,23.98
C01401,INV13716,2023-05-26,1,28.71
C01468,INV14516,2023-09-29,4,11.27
C01162,INV11414,2023-03-01,5,8.75
C01040,INV10356,2023-08-28,1,35.77
C01354,INV13327,2023-09-28,2,365.71
C01260,INV12332,2023-11-22,5,3.92
C01140,INV11176,2023-10-10,5,9.07
C01476,INV14560,2023-04-06,1,8.89
C01095,INV10776,2023-03-22,1,11.37
C01095,INV10779,2023-06-07,3,40.67
C01431,INV14072,2023-06-30,1,65.11
C01237,INV12097,2023-09-03,1,106.26
C01237,INV12094,2023-08-26,5,61.61
C01392,INV13635,2023-05-17,3,32.69
C01073,INV10608,2023-10-04,4,46.63
C01088,INV10732,2023-10-06,2,59.77
C01385,INV13550,2023-06-09,4,8.9
C01335,INV13144,2023-05-27,5,123.84
C01304,INV12830,2023-06-21,1,11.12
C01170,INV11447,2023-08-28,3,24.93
C01411,INV13869,2023-08-12,4,27.36
C01215,INV11893,2023-07-11,1,55.57
C01470,INV14527,2023-07-13,4,4.72
C01271,INV12420,2023-08-23,4,39.34
C01455,INV14339,2023-08-28,2,136.83
C01090,INV10766,2023-01-01,1,46.42
C01198,INV11645,2023-06-15,4,14.89
C01115,INV10961,2023-09-10,4,28.38
C01245,INV12161,2023-07-29,2,24.72
C01319,INV12964,2023-08-13,4,132.77
C01252,INV12263,2023-03-28,1,37.24
C01347,INV13235,2023-11-24,1,100.23
C01324,INV13033,2023-09-07,2,11.31
C01168,INV11441,2023-08-10,4,7.37
C01161,INV11397,2023-10-22,4,16.3
C01106,INV10855,2023-02-27,4,22.77
C01010,INV10058,2023-08-26,4,20.69
C01209,INV11786,2023-12-01,4,8.63
C01477,INV14564,2023-08-04,4,69.05
C01472,INV14537,2023-02-25,2,16.38
C01142,INV11189,2023-10-26,2,14.35
C01470,INV14527,2023-07-13,5,8.93
C01472,INV14538,2023-04-19,4,7.65
C01443,INV14181,2023-11-08,3,38.47
C01312,INV12906,2023-07-22,4,14.98
C01131,INV11127,2023-10-15,4,10.14
C01460,INV14406,2023-06-30,5,115.15
C01188,INV11566,2023-05-24,1,12.49
C01070,INV10591,2023-08-07,5,21.75
C01289,INV12589,2023-07-02,1,13.53
C01033,INV10272,2023-05-12,3,32.45
C01229,INV12039,2023-08-22,2,11.32
C01406,INV13781,2023-07-09,2,38.46
C01187,INV11539,2023-10-29,3,17.06
C01113,INV10949,2023-10-08,1,18.73
C01460,INV14397,2023-09-05,2,46.37
C01471,INV14532,2023-12-18,4,6.65
